"과목 및 유형",2025,2025,2025,2025,2025,2025,2025
"과목 및 유형",평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원)
"대상분포(%)",100.0,38.3,14.8,23.5,61.7,46.0,15.7
"사교육비",45.8,52.4,66.3,43.6,41.6,44.8,32.5
"과목: 일반교과 사교육",33.6,39.3,49.9,32.6,30.1,32.4,23.4
"국어",3.9,4.7,6.4,3.7,3.3,3.6,2.6
"영어",13.1,14.8,18.0,12.8,12.1,13.0,9.3
"수학",12.8,15.0,19.1,12.4,11.5,12.3,9.0
"사회, 과학",1.9,2.5,3.3,2.0,1.5,1.5,1.2
"논술",1.5,1.8,2.4,1.3,1.4,1.5,0.9
"제2외국어, 한문, 컴퓨터 등",0.4,0.5,0.7,0.4,0.4,0.4,0.3
"컴퓨터",0.1,0.2,0.2,0.1,0.1,0.1,0.1
"제2외국어, 한문 등",0.3,0.3,0.5,0.3,0.3,0.3,0.2
"과목: 예체능,취미,교양 사교육",11.8,12.7,15.9,10.7,11.2,12.0,8.8
"음악",3.1,3.6,4.9,2.8,2.9,3.0,2.3
"미술",1.9,2.1,2.7,1.7,1.8,2.0,1.4
"체육",5.5,5.8,6.9,5.1,5.4,5.7,4.4
"취미·교양",1.2,1.2,1.4,1.1,1.1,1.2,0.8
"과목: 취업관련 사교육",0.2,0.2,0.2,0.1,0.2,0.2,0.1
"과목: 진로·진학 학습상담",0.2,0.2,0.3,0.2,0.2,0.2,0.1
"유형: 일반교과 사교육",33.6,39.3,49.9,32.6,30.1,32.4,23.4
"개인과외",3.1,3.9,5.2,3.1,2.6,2.8,2.2
"그룹과외",1.8,1.6,1.5,1.7,2.0,1.9,2.2
"학원수강",26.7,31.6,40.9,25.8,23.6,25.8,17.3
"방문학습지",0.8,0.9,1.1,0.8,0.8,0.8,0.7
"유료인터넷 및 통신강좌 등",1.1,1.2,1.2,1.2,1.1,1.1,1.1
"유형: 예체능,취미,교양 사교육",11.8,12.7,15.9,10.7,11.2,12.0,8.8
"개인과외",1.3,1.7,2.8,1.1,1.0,1.0,0.8
"그룹과외",0.5,0.5,0.6,0.5,0.5,0.5,0.5
"학원수강",9.5,9.9,11.8,8.7,9.3,10.0,7.2
"방문수업 및 기타",0.5,0.5,0.7,0.4,0.5,0.5,0.4
